Fecha,Fondeo-BancarioMX,Fondeo-GuberMX,TIIE-28,TIIE-91,Tasa-Banxico
24/01/2008,7.51,7.42,7.93,7.97,7.5
31/01/2008,7.52,7.45,7.9125,7.97,7.5
07/02/2008,7.5,7.43,7.9245,7.9475,7.5
14/02/2008,7.5,7.4,7.9275,7.93,7.5
21/02/2008,7.5,7.41,7.94,7.92,7.5
28/02/2008,7.5,7.42,7.9118,7.94,7.5
06/03/2008,7.5,7.41,7.9175,7.9325,7.5
13/03/2008,7.51,7.41,7.9375,7.9375,7.5
19/03/2008,7.55,7.46,7.9275,7.9525,7.5
27/03/2008,7.49,7.37,7.9375,7.9425,7.5
03/04/2008,7.51,7.35,7.95,7.955,7.5
10/04/2008,7.5,7.32,7.915,7.94,7.5
17/04/2008,7.51,7.34,7.94,7.9525,7.5
24/04/2008,7.51,7.33,7.9375,7.965,7.5
30/04/2008,7.52,7.38,7.93,7.98,7.5
08/05/2008,7.51,7.33,7.94,7.975,7.5
15/05/2008,7.51,7.3,7.92,7.9681,7.5
22/05/2008,7.5,7.32,7.925,7.9481,7.5
29/05/2008,7.51,7.29,7.93,7.94,7.5
05/06/2008,7.51,7.33,7.925,7.94,7.5
12/06/2008,7.51,7.35,7.9225,8.03,7.5
19/06/2008,7.53,7.41,7.9275,8.06,7.5
26/06/2008,7.76,7.62,8.2,8.3675,7.75
03/07/2008,7.76,7.69,8.19,8.38,7.75
10/07/2008,7.75,7.67,8.165,8.3485,7.75
17/07/2008,7.78,7.73,8.2325,8.425,7.75
24/07/2008,7.99,7.89,8.43,8.61,8
31/07/2008,8.05,7.95,8.44,8.675,8
04/08/2008,8,7.9,8.435,8.67,8
05/08/2008,8,7.9,8.45,8.665,8
06/08/2008,8,7.9,8.45,8.6725,8
07/08/2008,7.99,7.89,8.4675,8.695,8
08/08/2008,8,7.89,8.485,8.695,8
11/08/2008,8,7.9,8.45,8.665,8
12/08/2008,8,7.9,8.45,8.67,8
13/08/2008,8,7.9,8.47,8.68,8
14/08/2008,8,7.91,8.475,8.675,8
15/08/2008,8.25,8.15,8.455,8.66,8.25
18/08/2008,8.25,8.16,8.665,8.77,8.25
19/08/2008,8.26,8.16,8.66,8.745,8.25
20/08/2008,8.26,8.15,8.69,8.755,8.25
21/08/2008,8.25,8.15,8.685,8.7575,8.25
22/08/2008,8.24,8.13,8.675,8.75,8.25
25/08/2008,8.24,8.14,8.6775,8.7525,8.25
26/08/2008,8.25,8.17,8.675,8.75,8.25
27/08/2008,8.25,8.16,8.65,8.74,8.25
28/08/2008,8.26,8.17,8.645,8.73,8.25
29/08/2008,8.28,8.21,8.66,8.7375,8.25
01/09/2008,8.25,8.16,8.66,8.735,8.25
02/09/2008,8.25,8.17,8.665,8.755,8.25
03/09/2008,8.25,8.18,8.66,8.74,8.25
04/09/2008,8.26,8.18,8.66,8.745,8.25
05/09/2008,8.25,8.17,8.66,8.74,8.25
08/09/2008,8.25,8.18,8.66,8.735,8.25
09/09/2008,8.25,8.19,8.665,8.74,8.25
10/09/2008,8.26,8.19,8.655,8.74,8.25
11/09/2008,8.26,8.2,8.66,8.745,8.25
12/09/2008,8.26,8.19,8.665,8.745,8.25
15/09/2008,8.27,8.21,8.66,8.74,8.25
17/09/2008,8.26,8.2,8.655,8.74,8.25
18/09/2008,8.27,8.2,8.65,8.75,8.25
19/09/2008,8.26,8.2,8.65,8.75,8.25
22/09/2008,8.25,8.19,8.66,8.75,8.25
23/09/2008,8.25,8.18,8.66,8.735,8.25
24/09/2008,8.25,8.18,8.66,8.75,8.25
25/09/2008,8.26,8.19,8.6725,8.745,8.25
26/09/2008,8.25,8.19,8.68,8.755,8.25
29/09/2008,8.26,8.2,8.655,8.735,8.25
30/09/2008,8.27,8.24,8.655,8.73,8.25
01/10/2008,8.25,8.19,8.67,8.74,8.25
02/10/2008,8.25,8.24,8.68,8.75,8.25
03/10/2008,8.25,8.17,8.665,8.745,8.25
06/10/2008,8.23,8.17,8.67,8.75,8.25
07/10/2008,8.23,8.13,8.6725,8.755,8.25
08/10/2008,8.17,8.06,8.665,8.735,8.25
09/10/2008,8.12,8.01,8.67,8.74,8.25
10/10/2008,8.07,7.95,8.66,8.735,8.25
13/10/2008,8.11,7.99,8.68,8.75,8.25
14/10/2008,8.14,8.07,8.68,8.74,8.25
15/10/2008,8.07,7.97,8.66,8.73,8.25
16/10/2008,7.89,7.64,8.66,8.73,8.25
17/10/2008,7.63,7.47,8.655,8.735,8.25
20/10/2008,7.69,7.38,8.6925,8.76,8.25
21/10/2008,8.06,7.87,8.7125,8.81,8.25
22/10/2008,7.84,7.39,8.68,8.795,8.25
23/10/2008,7.6,7.03,8.685,8.76,8.25
24/10/2008,7.43,6.41,8.685,8.775,8.25
27/10/2008,7.72,6.89,8.685,8.785,8.25
28/10/2008,8.01,7.47,8.7,8.785,8.25
29/10/2008,8,7.54,8.675,8.77,8.25
30/10/2008,7.9,7.51,8.6575,8.7275,8.25
31/10/2008,8.12,7.86,8.6975,8.8075,8.25
03/11/2008,7.93,7.44,8.73,8.82,8.25
04/11/2008,7.99,7.56,8.74,8.83,8.25
05/11/2008,7.98,7.51,8.725,8.815,8.25
06/11/2008,7.98,7.52,8.73,8.815,8.25
07/11/2008,8.05,7.62,8.715,8.81,8.25
10/11/2008,8.06,7.71,8.735,8.8,8.25
11/11/2008,8.1,7.79,8.75,8.8275,8.25
12/11/2008,8.15,7.9,8.72,8.805,8.25
13/11/2008,8.19,7.99,8.7475,8.845,8.25
14/11/2008,8.2,8.03,8.72,8.82,8.25
18/11/2008,8.22,7.98,8.745,8.815,8.25
19/11/2008,8.23,8.04,8.72,8.805,8.25
20/11/2008,8.23,8.05,8.74,8.82,8.25
21/11/2008,8.18,8.05,8.755,8.84,8.25
24/11/2008,8.17,8,8.7275,8.85,8.25
25/11/2008,8.17,8.02,8.765,8.88,8.25
26/11/2008,8.19,8,8.72,8.85,8.25
27/11/2008,8.16,7.98,8.73,8.84,8.25
28/11/2008,8.2,8.04,8.73,8.85,8.25
01/12/2008,8.2,8.1,8.72,8.835,8.25
02/12/2008,8.18,8.05,8.77,8.86,8.25
03/12/2008,8.17,8.01,8.8,8.87,8.25
04/12/2008,8.2,8.04,8.745,8.83,8.25
05/12/2008,8.22,8.06,8.77,8.85,8.25
08/12/2008,8.24,8.07,8.7875,8.845,8.25
09/12/2008,8.24,8.09,8.7325,8.82,8.25
10/12/2008,8.26,8.2,8.74,8.83,8.25
11/12/2008,8.25,8.14,8.77,8.845,8.25
15/12/2008,8.27,8.12,8.745,8.835,8.25
16/12/2008,8.3,8.21,8.75,8.835,8.25
17/12/2008,8.31,8.23,8.7525,8.8325,8.25
18/12/2008,8.32,8.22,8.75,8.815,8.25
19/12/2008,8.3,8.19,8.715,8.785,8.25
22/12/2008,8.31,8.19,8.7375,8.8,8.25
23/12/2008,8.31,8.19,8.705,8.785,8.25
24/12/2008,8.31,8.2,8.725,8.8,8.25
26/12/2008,8.3,8.19,8.74,8.81,8.25
29/12/2008,8.33,8.2,8.7061,8.771,8.25
30/12/2008,8.33,8.2,8.6835,8.7458,8.25
31/12/2008,8.34,8.23,8.6886,8.7435,8.25
02/01/2009,8.3,8.16,8.7018,8.7408,8.25
05/01/2009,8.3,8.16,8.7075,8.74,8.25
06/01/2009,8.29,8.16,8.7,8.735,8.25
07/01/2009,8.3,8.16,8.7,8.735,8.25
08/01/2009,8.3,8.16,8.69,8.71,8.25
09/01/2009,8.29,8.15,8.685,8.725,8.25
12/01/2009,8.31,8.16,8.665,8.655,8.25
13/01/2009,8.31,8.17,8.645,8.635,8.25
14/01/2009,8.3,8.17,8.636,8.652,8.25
15/01/2009,8.31,8.17,8.6125,8.62,8.25
