"","fecha","contrato","carteramodelo","reporto","id","tipo","emisora","serie","tot","precio","tit","mon","perc"
"1","2018-04-16","52182","CG-CM-AGRESIVO-0","D","52-+CIEQUS-C-2","52","+CIEQUS","C-2",3e+07,1.144281,18352135,20999999.39,0.699999979666667
"2","2018-04-16","52182","CG-CM-AGRESIVO-0","D","52-AXESEDM-M1","52","AXESEDM","M1",3e+07,2.327391,3866990,8999997.72,0.299999924
"3","2018-04-16","52182","CG-CM-AGRESIVO-0","E","EFECTIVO","","EFECTIVO","",3e+07,1,-29999875.12,-29999875.12,-0.999995837333333
"4","2018-04-16","52182","CG-CM-AGRESIVO-0","R","REPORTO","","REPORTO","",3e+07,1,29999878.01,29999878.01,0.999995933666667
"5","2018-04-17","52182","CG-CM-AGRESIVO-0","D","51-+CIGUB-C-4","51","+CIGUB","C-4",30005871.9,1.182932,25365677,30005871.02,0.999999970672407
"6","2018-04-17","52182","CG-CM-AGRESIVO-0","D","52-+CIEQUS-C-2","52","+CIEQUS","C-2",30005871.9,1.145767,18349135,21023833.36,0.700657305678893
"7","2018-04-17","52182","CG-CM-AGRESIVO-0","D","52-AXESEDM-M1","52","AXESEDM","M1",30005871.9,2.322504,3866990,8981099.74,0.299311407111619
"8","2018-04-17","52182","CG-CM-AGRESIVO-0","E","EFECTIVO","","EFECTIVO","",30005871.9,1,-30004932.23,-30004932.23,-0.999968683796187
"9","2018-04-18","52182","CG-CM-AGRESIVO-0","D","51-+CIGUB-C-4","51","+CIGUB","C-4",30424611.51,1.183111,7592813,8983140.58,0.295259006907858
"10","2018-04-18","52182","CG-CM-AGRESIVO-0","D","52-+CIEQUS-C-2","52","+CIEQUS","C-2",30424611.51,1.166642,18349135,21406871.55,0.703603776270535
"11","2018-04-18","52182","CG-CM-AGRESIVO-0","D","52-AXESEDM-M1","52","AXESEDM","M1",30424611.51,2.330546,3866990,9012198.08,0.296214072512902
"12","2018-04-18","52182","CG-CM-AGRESIVO-0","E","EFECTIVO","","EFECTIVO","",30424611.51,1,-8977598.7,-8977598.7,-0.295076855691296
"13","2018-04-19","52182","CG-CM-AGRESIVO-0","D","51-+CIGUB-C-4","51","+CIGUB","C-4",30574372.65,1.183294,5857,6930.55,0.000226678404143805
"14","2018-04-19","52182","CG-CM-AGRESIVO-0","D","52-+CIEQUS-C-2","52","+CIEQUS","C-2",30574372.65,1.171809,18349135,21501681.54,0.703258306757113
"15","2018-04-19","52182","CG-CM-AGRESIVO-0","D","52-AXESEDM-M1","52","AXESEDM","M1",30574372.65,2.344397,3866990,9065759.76,0.296514988673038
"16","2018-04-19","52182","CG-CM-AGRESIVO-0","E","EFECTIVO","","EFECTIVO","",30574372.65,1,0.81,0.81,2.64927758051644e-08
"17","2018-04-20","52182","CG-CM-AGRESIVO-0","D","51-+CIGUB-C-4","51","+CIGUB","C-4",31136471.87,1.183515,5857,6931.85,0.000222627985243211
"18","2018-04-20","52182","CG-CM-AGRESIVO-0","D","52-+CIEQUS-C-2","52","+CIEQUS","C-2",31136471.87,1.197008,18349135,21964061.39,0.705412658238982
"19","2018-04-20","52182","CG-CM-AGRESIVO-0","D","52-AXESEDM-M1","52","AXESEDM","M1",31136471.87,2.370184,3866990,9165477.83,0.294364688082433
"20","2018-04-20","52182","CG-CM-AGRESIVO-0","E","EFECTIVO","","EFECTIVO","",31136471.87,1,0.81,0.81,2.60145081106776e-08
"21","2018-04-23","52182","CG-CM-AGRESIVO-0","D","51-+CIGUB-C-4","51","+CIGUB","C-4",31042698.21,1.184039,5857,6934.92,0.000223399395023143
"22","2018-04-23","52182","CG-CM-AGRESIVO-0","D","52-+CIEQUS-C-2","52","+CIEQUS","C-2",31042698.21,1.19175,18349135,21867581.64,0.704435596805037
"23","2018-04-23","52182","CG-CM-AGRESIVO-0","D","52-AXESEDM-M1","52","AXESEDM","M1",31042698.21,2.370883,3866990,9168180.85,0.295340978028984
"24","2018-04-23","52182","CG-CM-AGRESIVO-0","E","EFECTIVO","","EFECTIVO","",31042698.21,1,0.81,0.81,2.60930926339086e-08
"25","2018-04-24","52182","CG-CM-AGRESIVO-0","D","51-+CIGUB-C-4","51","+CIGUB","C-4",31392380.13,1.184209,5857,6935.91,0.000220942469837504
"26","2018-04-24","52182","CG-CM-AGRESIVO-0","D","52-+CIEQUS-C-2","52","+CIEQUS","C-2",31392380.13,1.204596,18349135,22103294.62,0.704097444299137
"27","2018-04-24","52182","CG-CM-AGRESIVO-0","D","52-AXESEDM-M1","52","AXESEDM","M1",31392380.13,2.400355,3866990,9282148.78,0.295681587110037
"28","2018-04-24","52182","CG-CM-AGRESIVO-0","E","EFECTIVO","","EFECTIVO","",31392380.13,1,0.81,0.81,2.58024398483225e-08
"29","2018-04-25","52182","CG-CM-AGRESIVO-0","D","51-+CIGUB-C-4","51","+CIGUB","C-4",30956584.27,1.18438,5857,6936.91,0.00022408512320019
"30","2018-04-25","52182","CG-CM-AGRESIVO-0","D","52-+CIEQUS-C-2","52","+CIEQUS","C-2",30956584.27,1.180647,18349135,21663851.19,0.699814004059693
"31","2018-04-25","52182","CG-CM-AGRESIVO-0","D","52-AXESEDM-M1","52","AXESEDM","M1",30956584.27,2.401298,3866990,9285795.35,0.299961884328397
"32","2018-04-25","52182","CG-CM-AGRESIVO-0","E","EFECTIVO","","EFECTIVO","",30956584.27,1,0.81,0.81,2.61656774835126e-08
"33","2018-04-26","52182","CG-CM-AGRESIVO-0","D","51-+CIGUB-C-4","51","+CIGUB","C-4",30865191.72,1.184554,5857,6937.93,0.000224781691393297
"34","2018-04-26","52182","CG-CM-AGRESIVO-0","D","52-+CIEQUS-C-2","52","+CIEQUS","C-2",30865191.72,1.180554,18349135,21662144.72,0.701830881742535
"35","2018-04-26","52182","CG-CM-AGRESIVO-0","D","52-AXESEDM-M1","52","AXESEDM","M1",30865191.72,2.378105,3866990,9196108.25,0.297944309998927
"36","2018-04-26","52182","CG-CM-AGRESIVO-0","E","EFECTIVO","","EFECTIVO","",30865191.72,1,0.81,0.81,2.62431546626401e-08
"37","2018-04-27","52182","CG-CM-AGRESIVO-0","D","51-+CIGUB-C-4","51","+CIGUB","C-4",31147415.49,1.184729,5857,6938.96,0.000222778034415978
"38","2018-04-27","52182","CG-CM-AGRESIVO-0","D","52-+CIEQUS-C-2","52","+CIEQUS","C-2",31147415.49,1.196517,18349135,21955051.96,0.704875560768397
