"","fecha","contrato","carteramodelo","reporto","id","tipo","emisora","serie","tot","precio","tit","mon","perc"
"1","2016-07-05","51213","CG-CM-MODERADO-0","D","51-NAVIGTR-BF3","51","NAVIGTR","BF3",2007543.75,3.284078,1871,6144.51,0.00306071038302403
"2","2016-07-06","51213","CG-CM-MODERADO-0","D","51-NAVIGTR-BF3","51","NAVIGTR","BF3",2007826.79,3.331292,1871,6232.85,0.00310427673893125
"3","2016-07-07","51213","CG-CM-MODERADO-0","D","51-NAVIGTR-BF3","51","NAVIGTR","BF3",2008171.56,3.338419,1871,6246.18,0.00311038166480159
"4","2016-07-08","51213","CG-CM-MODERADO-0","D","51-NAVIGTR-BF3","51","NAVIGTR","BF3",2008757.44,3.362451,2057,6916.57,0.00344320815558498
"5","2016-07-11","51213","CG-CM-MODERADO-0","D","51-NAVIGTR-BF3","51","NAVIGTR","BF3",2009711.12,3.342456,2057,6875.43,0.00342110362607736
"6","2016-07-12","51213","CG-CM-MODERADO-0","D","51-NAVIGTR-BF3","51","NAVIGTR","BF3",2010161.3,3.340369,2057,6871.14,0.00341820330537654
"7","2016-07-13","51213","CG-CM-MODERADO-0","D","51-NAVIGTR-BF3","51","NAVIGTR","BF3",2010277.84,3.322759,2304,7655.64,0.00380824970940335
"8","2016-07-14","51213","CG-CM-MODERADO-0","D","51-NAVIGTR-BF3","51","NAVIGTR","BF3",2009998.04,3.325268,2304,7661.42,0.00381165545813169
"9","2016-07-15","51213","CG-CM-MODERADO-0","D","51-NAVIGTR-BF3","51","NAVIGTR","BF3",2010750.91,3.317964,2304,7644.59,0.00380185828188933
"10","2016-07-18","51213","CG-CM-MODERADO-0","D","51-NAVIGTR-BF3","51","NAVIGTR","BF3",2011496.48,3.334616,2304,7682.96,0.00381952445673681
"11","2016-07-19","51213","CG-CM-MODERADO-0","D","51-NAVIGTR-BF3","51","NAVIGTR","BF3",2012188.45,3.335134,2304,7684.15,0.00381880235919255
"12","2016-07-20","51213","CG-CM-MODERADO-0","D","51-NAVIGTR-BF3","51","NAVIGTR","BF3",2013830.32,3.352959,2304,7725.22,0.00383608287315885
"13","2016-07-21","51213","CG-CM-MODERADO-0","D","51-NAVIGTR-BF3","51","NAVIGTR","BF3",2014317.79,3.375097,2304,7776.22,0.00386047327715852
"14","2016-07-22","51213","CG-CM-MODERADO-0","D","51-NAVIGTR-BF3","51","NAVIGTR","BF3",2015275.7,3.376214,2304,7778.8,0.00385991852132192
"15","2016-07-25","51213","CG-CM-MODERADO-0","D","51-NAVIGTR-BF3","51","NAVIGTR","BF3",2014621.99,3.368285,2304,7760.53,0.00385210229934996
"16","2016-07-26","51213","CG-CM-MODERADO-0","D","51-NAVIGTR-BF3","51","NAVIGTR","BF3",2014665.38,3.394689,1991,6758.82,0.00335481021667231
"17","2016-07-27","51213","CG-CM-MODERADO-0","D","51-NAVIGTR-BF3","51","NAVIGTR","BF3",2014367.33,3.388722,1991,6746.95,0.00334941393236357
"18","2016-07-28","51213","CG-CM-MODERADO-0","D","51-NAVIGTR-BF3","51","NAVIGTR","BF3",2014076.45,3.397862,1991,6765.14,0.00335892910122652
"19","2016-07-29","51213","CG-CM-MODERADO-0","D","51-NAVIGTR-BF3","51","NAVIGTR","BF3",2011155.96,3.397926,1991,6765.27,0.00336387139264923
"20","2016-08-01","51213","CG-CM-MODERADO-0","D","51-NAVIGTR-BF3","51","NAVIGTR","BF3",2011817.34,3.382049,1991,6733.66,0.00334705336618681
"21","2016-08-02","51213","CG-CM-MODERADO-0","D","51-NAVIGTR-BF3","51","NAVIGTR","BF3",2010771.47,3.374277,1995,6731.69,0.00334781455796168
"22","2016-08-03","51213","CG-CM-MODERADO-0","D","51-NAVIGTR-BF3","51","NAVIGTR","BF3",2011349.5,3.385924,1995,6754.92,0.00335840190876822
"23","2016-08-04","51213","CG-CM-MODERADO-0","D","51-NAVIGTR-BF3","51","NAVIGTR","BF3",2011584.7,3.397664,1995,6778.34,0.00336965179741127
"24","2016-08-05","51213","CG-CM-MODERADO-0","D","51-NAVIGTR-BF3","51","NAVIGTR","BF3",2013291.44,3.415286,1995,6813.5,0.00338425916120718
"25","2016-08-08","51213","CG-CM-MODERADO-0","D","51-NAVIGTR-BF3","51","NAVIGTR","BF3",2011647.94,3.393095,1995,6769.22,0.00336501226949284
"26","2016-08-09","51213","CG-CM-MODERADO-0","D","51-NAVIGTR-BF3","51","NAVIGTR","BF3",2011116.05,3.374734,1995,6732.59,0.00334768846382584
"27","2016-08-10","51213","CG-CM-MODERADO-0","D","51-NAVIGTR-BF3","51","NAVIGTR","BF3",1966045.74,3.362407,1995,6708,0.00341192468899528
"28","2016-08-11","51213","CG-CM-MODERADO-0","D","51-NAVIGTR-BF3","51","NAVIGTR","BF3",1965807.28,3.348871,1995,6681,0.00339860375326314
"29","2016-08-12","51213","CG-CM-MODERADO-0","D","51-NAVIGTR-BF3","51","NAVIGTR","BF3",1965569.14,3.323875,1995,6631.13,0.00337364372743459
"30","2016-08-15","51213","CG-CM-MODERADO-0","D","51-NAVIGTR-BF3","51","NAVIGTR","BF3",1964593.68,3.337637,1995,6658.59,0.00338929625386966
"31","2016-08-16","51213","CG-CM-MODERADO-0","D","51-NAVIGTR-BF3","51","NAVIGTR","BF3",1963372.94,3.314274,1249,4139.53,0.00210837682218438
"32","2016-08-17","51213","CG-CM-MODERADO-0","D","51-NAVIGTR-BF3","51","NAVIGTR","BF3",1966520.74,3.294337,1249,4114.63,0.00209233999739052
"33","2016-08-18","51213","CG-CM-MODERADO-0","D","51-NAVIGTR-BF3","51","NAVIGTR","BF3",1966276.1,3.323002,1249,4150.43,0.00211080732761793
"34","2016-08-19","51213","CG-CM-MODERADO-0","D","51-NAVIGTR-BF3","51","NAVIGTR","BF3",1967937.05,3.327082,1249,4155.53,0.00211161734060548
"35","2016-08-22","51213","CG-CM-MODERADO-0","D","51-NAVIGTR-BF3","51","NAVIGTR","BF3",1968688.27,3.34615,1249,4179.34,0.00212290592862627
"36","2016-08-23","51213","CG-CM-MODERADO-0","D","51-NAVIGTR-BF3","51","NAVIGTR","BF3",1968148.41,3.344927,1249,4177.81,0.00212271085796828
"37","2016-08-24","51213","CG-CM-MODERADO-0","D","51-NAVIGTR-BF3","51","NAVIGTR","BF3",1968522.69,3.389526,1249,4233.52,0.002150607672193
"38","2016-08-25","51213","CG-CM-MODERADO-0","D","51-NAVIGTR-BF3","51","NAVIGTR","BF3",1968764.16,3.381907,1249,4224,0.00214550837821022
"39","2016-08-26","51213","CG-CM-MODERADO-0","D","51-NAVIGTR-BF3","51","NAVIGTR","BF3",1968037.86,3.369693,1086,3659.49,0.00185946117926817
"40","2016-08-29","51213","CG-CM-MODERADO-0","D","51-NAVIGTR-BF3","51","NAVIGTR","BF3",1969267.1,3.403385,1086,3696.08,0.0018768809980119
"41","2016-08-30","51213","CG-CM-MODERADO-0","D","51-NAVIGTR-BF3","51","NAVIGTR","BF3",1969907.96,3.422056,1086,3716.35,0.00188656022284412
"42","2016-08-31","51213","CG-CM-MODERADO-0","D","51-NAVIGTR-BF3","51","NAVIGTR","BF3",1967280.84,3.464945,1086,3762.93,0.00191275689951822
"43","2016-09-01","51213","CG-CM-MODERADO-0","D","51-NAVIGTR-BF3","51","NAVIGTR","BF3",1967534.02,3.45215,1086,3749.03,0.00190544608728036
"44","2016-09-02","51213","CG-CM-MODERADO-0","D","51-NAVIGTR-BF3","51","NAVIGTR","BF3",1967756.84,3.439807,1086,3735.63,0.00189842053858646
"45","2016-09-05","51213","CG-CM-MODERADO-0","D","51-NAVIGTR-BF3","51","NAVIGTR","BF3",1968348.99,3.421852,1086,3716.13,0.00188794264578051
"46","2016-09-06","51213","CG-CM-MODERADO-0","D","51-NAVIGTR-BF3","51","NAVIGTR","BF3",1967296.78,3.420176,1086,3714.31,0.00188802728584754
"47","2016-09-07","51213","CG-CM-MODERADO-0","D","51-NAVIGTR-BF3","51","NAVIGTR","BF3",1967417.54,3.372845,1086,3662.91,0.00186178578035855
"48","2016-09-12","51213","CG-CM-MODERADO-0","D","51-NAVIGTR-BF3","51","NAVIGTR","BF3",1967956.77,3.425092,868,2972.98,0.00151069375370476
"49","2016-09-13","51213","CG-CM-MODERADO-0","D","51-NAVIGTR-BF3","51","NAVIGTR","BF3",1967888.16,3.446112,868,2991.23,0.00152002032473228
"50","2016-09-14","51213","CG-CM-MODERADO-0","D","51-NAVIGTR-BF3","51","NAVIGTR","BF3",1967444.58,3.457382,868,3001.01,0.00152533394358686
"51","2016-09-15","51213","CG-CM-MODERADO-0","D","51-NAVIGTR-BF3","51","NAVIGTR","BF3",1968450.74,3.479619,868,3020.31,0.00153435894463887
"52","2016-09-19","51213","CG-CM-MODERADO-0","D","51-NAVIGTR-BF3","51","NAVIGTR","BF3",1969541.83,3.50691,868,3044,0.00154553711611192
"53","2016-09-20","51213","CG-CM-MODERADO-0","D","51-NAVIGTR-BF3","51","NAVIGTR","BF3",1970312.69,3.578614,868,3106.24,0.00157652133885409
"54","2016-09-21","51213","CG-CM-MODERADO-0","D","51-NAVIGTR-BF3","51","NAVIGTR","BF3",1972292.21,3.611426,868,3134.72,0.0015893790910425
"55","2016-09-22","51213","CG-CM-MODERADO-0","D","51-NAVIGTR-BF3","51","NAVIGTR","BF3",1972615.36,3.629346,868,3150.27,0.00159700165773828
"56","2016-09-23","51213","CG-CM-MODERADO-0","D","51-NAVIGTR-BF3","51","NAVIGTR","BF3",1972919.94,3.608765,868,3132.41,0.00158770254002299
"57","2016-09-26","51213","CG-CM-MODERADO-0","D","51-NAVIGTR-BF3","51","NAVIGTR","BF3",1953498.49,3.634171,868,3154.46,0.00161477473166616
"58","2016-09-27","51213","CG-CM-MODERADO-0","D","51-NAVIGTR-BF3","51","NAVIGTR","BF3",2953767.75,3.637832,1437,5227.57,0.0017697972360894
"59","2016-09-28","51213","CG-CM-MODERADO-0","D","51-NAVIGTR-BF3","51","NAVIGTR","BF3",954201.26,3.572699,1437,5133.97,0.00538038484669366
"60","2016-09-29","51213","CG-CM-MODERADO-0","D","51-NAVIGTR-BF3","51","NAVIGTR","BF3",953692.88,3.580921,1437,5145.78,0.00539563638138936
"61","2016-09-30","51213","CG-CM-MODERADO-0","D","51-NAVIGTR-BF3","51","NAVIGTR","BF3",951412.78,3.57928,1437,5143.43,0.005406097235734
"62","2016-10-03","51213","CG-CM-MODERADO-0","D","51-NAVIGTR-BF3","51","NAVIGTR","BF3",951446.7,3.582618,1437,5148.22,0.00541093894171896
"63","2016-10-04","51213","CG-CM-MODERADO-0","D","51-NAVIGTR-BF3","51","NAVIGTR","BF3",951255.7,3.566156,1437,5124.57,0.00538716351449983
"64","2016-10-05","51213","CG-CM-MODERADO-0","D","51-NAVIGTR-BF3","51","NAVIGTR","BF3",951942.27,3.561305,1437,5117.6,0.00537595625415394
"65","2016-10-06","51213","CG-CM-MODERADO-0","D","51-NAVIGTR-BF3","51","NAVIGTR","BF3",887177.85,3.554182,1437,5107.36,0.00575686149062446
"66","2016-10-07","51213","CG-CM-MODERADO-0","D","51-NAVIGTR-BF3","51","NAVIGTR","BF3",951742.1,3.560007,1437,5115.73,0.00537512210503244
"67","2016-10-10","51213","CG-CM-MODERADO-0","D","51-NAVIGTR-BF3","51","NAVIGTR","BF3",950749.58,3.574049,1437,5135.91,0.00540195873660023
"68","2016-10-11","51213","CG-CM-MODERADO-0","D","51-NAVIGTR-BF3","51","NAVIGTR","BF3",950818.7,3.516734,1437,5053.55,0.00531494595131543
"69","2016-10-12","51213","CG-CM-MODERADO-0","D","51-NAVIGTR-BF3","51","NAVIGTR","BF3",951144.8,3.502082,1437,5032.49,0.00529098198297462
