"","fecha","contrato","carteramodelo","reporto","id","tipo","emisora","serie","tot","precio","tit","mon","perc"
"1","2018-01-02","51847","CG-CM-AGRESIVO-USD","D","51-+CIGUB-C-4","51","+CIGUB","C-4",10410556.52,1.164816,163009,189875.49,0.0182387454153123
"2","2018-01-02","51847","CG-CM-AGRESIVO-USD","D","51-+CIGUMP-C-3","51","+CIGUMP","C-3",10410556.52,1.067305,1340210,1430412.83,0.137400227091798
"3","2018-01-02","51847","CG-CM-AGRESIVO-USD","D","51-+CIUSD-C-3","51","+CIUSD","C-3",10410556.52,1.100776,2493503,2744788.26,0.263654325753567
"4","2018-01-02","51847","CG-CM-AGRESIVO-USD","D","51-NAVIGTR-BF3","51","NAVIGTR","BF3",10410556.52,3.774499,1183511,4467161.09,0.429099163086816
"5","2018-01-02","51847","CG-CM-AGRESIVO-USD","D","52-+CIBOLS-C-4","52","+CIBOLS","C-4",10410556.52,2.184544,439973,961140.38,0.0923236311289918
"6","2018-01-02","51847","CG-CM-AGRESIVO-USD","D","52-+CIEQUS-C-4","52","+CIEQUS","C-4",10410556.52,1.208956,510505,617178.08,0.0592838700615402
"7","2018-01-02","51847","CG-CM-AGRESIVO-USD","E","EFECTIVO","","EFECTIVO","",10410556.52,1,0.39,0.39,3.74619742230649e-08
"8","2018-01-03","51847","CG-CM-AGRESIVO-USD","D","51-+CIGUB-C-4","51","+CIGUB","C-4",10384800.78,1.164985,163009,189903.04,0.0182866329381814
"9","2018-01-03","51847","CG-CM-AGRESIVO-USD","D","51-+CIGUMP-C-3","51","+CIGUMP","C-3",10384800.78,1.067535,1340210,1430721.08,0.137770681432369
"10","2018-01-03","51847","CG-CM-AGRESIVO-USD","D","51-+CIUSD-C-3","51","+CIUSD","C-3",10384800.78,1.091351,2493503,2721286.99,0.262045180032813
"11","2018-01-03","51847","CG-CM-AGRESIVO-USD","D","51-NAVIGTR-BF3","51","NAVIGTR","BF3",10384800.78,3.745831,1183511,4433232.19,0.42689621918775
"12","2018-01-03","51847","CG-CM-AGRESIVO-USD","D","52-+CIBOLS-C-4","52","+CIBOLS","C-4",10384800.78,2.234692,439973,983204.14,0.0946772269231726
"13","2018-01-03","51847","CG-CM-AGRESIVO-USD","D","52-+CIEQUS-C-4","52","+CIEQUS","C-4",10384800.78,1.227124,510505,626452.94,0.0603240209678823
"14","2018-01-03","51847","CG-CM-AGRESIVO-USD","E","EFECTIVO","","EFECTIVO","",10384800.78,1,0.39,0.39,3.75548850923648e-08
"15","2018-01-04","51847","CG-CM-AGRESIVO-USD","D","51-+CIGUB-C-4","51","+CIGUB","C-4",10366743.19,1.165152,163009,189930.26,0.0183211117048999
